zip,fips
01705,25017
01815,25017
02241,25025
02266,25025
02283,25025
02284,25025
02297,25025
02456,25017
02457,25021
02475,25017
02479,25017
02495,25017
03298,33001
04007,23031
04549,23015
05302,50025
05303,50025
05304,50025
06140,09003
06151,09003
06814,09001
06816,09001
06860,09001
06879,09001
06914,09001
06927,09001
07191,34013
07395,34017
08076,34005
08645,34021
08646,34021
08647,34021
08871,34023
10265,36061
11026,36059
11053,36059
11054,36059
11055,36059
11120,36081
11555,36059
11760,36103
12016,36057
12261,36001
12325,36093
13442,36065
13449,36065
13599,36065
13763,36007
15286,42003
16522,42049
16698,42033
16699,42021
17140,42043
17334,42133
17335,42133
17549,42071
17606,42071
17607,42071
17611,42071
17622,42071
18003,42077
18025,42095
18502,42069
19019,42101
19193,42101
19194,42101
19195,42101
19244,42101
19415,42091
19880,10003
19905,10001
19906,10001
20022,11001
20077,11001
20078,11001
20102,51107
20116,51061
20118,51107
20134,51107
20142,51107
20163,51107
20185,51061
20196,51059
20232,11001
20238,11001
20252,11001
20262,11001
20277,11001
20299,11001
20355,11001
20511,11001
20578,11001
20697,24033
20719,24033
20797,24033
20897,24031
20908,24031
20997,24031
21747,24043
22034,51600
22036,51600
22095,51059
22118,51059
22246,51013
22907,51540
23014,51145
23289,51760
23519,51710
23806,51041
23822,51007
24157,51770
24205,51520
25350,54039
25358,54039
27237,37105
27621,37183
28253,37119
28254,37119
28258,37119
28263,37119
28265,37119
28290,37119
28335,37085
29143,45027
29722,45057
29913,45049
29914,45013
30475,13279
30811,13033
31144,13067
31192,13121
31193,13121
31195,13121
31196,13121
31294,13021
31515,13001
31758,13275
31997,13215
32116,12127
32123,12127
32142,12035
32149,12107
32157,12107
32178,12107
32183,12083
32329,12037
32341,12079
32353,12039
32412,12005
32457,12045
32616,12001
32655,12001
32885,12095
32896,12095
33299,12086
33337,12011
33575,12057
33650,12057
33663,12057
33664,12057
33769,12103
33826,12055
33888,12105
34137,12021
34143,12021
34265,12027
34421,12083
35011,01123
35161,01121
35237,01073
35287,01073
35609,01103
36132,01101
36628,01097
37111,47177
37162,47003
37244,47037
37349,47031
37544,47157
37822,47029
37824,47025
38505,47141
38628,28119
38634,28093
38675,28071
38749,28133
38902,28043
38935,28083
38955,28155
40287,21111
40290,21111
40298,21111
40362,21017
40384,21239
40423,21021
40550,21067
40598,21067
40702,21235
40743,21125
40745,21125
41021,21015
41702,21193
42135,21213
42142,21009
42719,21217
42755,21085
43199,39049
43279,39049
44005,39007
44097,39085
44282,39103
45270,39061
45277,39061
45280,39061
45683,39131
45777,39009
46085,18057
46262,18097
46288,18097
46352,18091
46361,18091
46699,18141
47549,18037
48112,26163
48279,26163
48916,26065
49018,26025
49528,26081
49786,26033
50037,19015
50099,19015
50982,19153
50983,19153
51591,19137
52497,19113
52642,19087
52733,19045
53774,55025
55078,27025
55554,27019
55569,27053
55572,27171
55573,27019
55575,27171
55577,27171
55592,27053
55593,27053
55599,27053
55730,27061
56372,27145
56397,27145
56538,27111
56901,11001
56902,11001
56904,11001
56908,11001
56915,11001
56920,11001
56933,11001
56935,11001
56944,11001
56945,11001
56950,11001
56965,11001
56967,11001
56972,11001
56999,11001
59073,30065
60094,17031
60116,17043
60399,17043
60572,17089
60691,17031
63197,29510
64766,29011
65817,29077
70097,22051
70187,22071
70429,22117
70826,22033
70831,22033
70833,22033
70873,22033
70891,22033
71150,22017
71217,22073
71612,05069
71656,05043
71657,05043
71711,05013
71802,05057
71920,05019
71966,05097
72303,05035
72336,05123
72630,05009
73344,48453
73558,40031
74439,40101
75267,48113
75275,48113
75277,48113
75283,48113
75285,48113
75301,48113
75303,48113
75312,48113
75320,48113
75326,48113
75358,48113
75373,48113
75392,48113
75394,48113
75395,48113
75429,48231
75797,48459
76068,48367
76166,48439
76385,48487
76644,48035
76715,48309
77202,48201
77203,48201
77209,48201
77343,48471
77344,48471
77348,48471
77349,48471
79178,48375
79550,48415
80995,08041
82006,56021
83799,16001
85065,04013
85190,04013
85655,04003
85670,04003
85671,04003
88590,48141
88595,48141
89067,32017
89159,32003
89446,32013
89452,32031
89555,32031
89802,32007
90189,06037
90407,06037
90410,06037
90411,06037
91110,06037
91526,06037
91618,06037
91758,06071
91909,06073
91987,06073
92186,06073
92554,06065
92850,06059
93596,06029
94139,06075
94144,06075
94151,06075
94160,06075
94163,06075
94172,06075
94177,06075
94278,06067
94622,06001
95214,06077
95296,06077
95644,06017
95899,06067
96070,06089
96152,06017
96154,06017
96156,06003
96157,06017
96840,15003
96841,15003
96843,15003
96844,15003
96846,15003
96847,15003
98141,53033
98190,53033
98415,53053
98471,53053
98481,53053
98599,53067
99629,02170
99812,02110
