country_id,state_id,fips,name,aliases,type,geo_lat,geo_long
US,AK,02275,Wrangell City and Borough,,county,56.469862,-132.375029
US,AK,02282,Yakutat City and Borough,,county,59.549946,-139.735818
US,AK,02290,Yukon-Koyukuk Census Area,,county,65.7,-152.71667
US,AZ,04001,Apache County,,county,32.80901,-108.268609
US,AZ,04003,Cochise County,,county,31.990567,-109.881283
US,AZ,04005,Coconino County,,county,35.165412,-109.382978
US,AZ,04007,Gila County,,county,35.165412,-109.382978
US,AZ,04009,Graham County,,county,32.824339,-109.686872
US,AZ,04011,Greenlee County,,county,35.165412,-109.382978
US,AZ,04012,La Paz County,,county,35.165412,-109.382978
US,AZ,04013,Maricopa County,,county,33.055431,-112.271751
US,AZ,04015,Mohave County,,county,35.165412,-109.382978
US,AZ,04017,Navajo County,,county,35.521975,-109.858262
US,AZ,04019,Pima County,,county,33.03989,-109.31808
US,AZ,04021,Pinal County,,county,35.165412,-109.382978
US,AZ,04023,Santa Cruz County,,county,33.269315,-112.160666
US,AZ,04025,Yavapai County,,county,35.165412,-109.382978
US,AZ,04027,Yuma County,,county,32.675325,-114.437884
US,AR,05001,Arkansas County,,county,33.53725,-92.819682
US,AR,05003,Ashley County,,county,33.614579,-92.77794
US,AR,05005,Baxter County,,county,33.554909,-92.82907
US,AR,05007,Benton County,,county,34.557663,-92.569815
US,AR,05009,Boone County,,county,35.288049,-92.402257
US,AR,05011,Bradley County,,county,33.103566,-93.620897
US,AR,05013,Calhoun County,,county,33.256161,-93.232033
US,AR,05015,Carroll County,,county,35.284774,-93.743297
US,AR,05017,Chicot County,,county,33.162949,-91.280516
US,AR,05019,Clark County,,county,33.554909,-92.82907
US,AR,05021,Clay County,,county,35.353606,-91.744456
US,AR,05023,Cleburne County,,county,33.554909,-92.82907
US,AR,05025,Cleveland County,,county,33.58324,-92.838049
US,AR,05027,Columbia County,,county,33.584159,-92.853969
US,AR,05029,Conway County,,county,35.077218,-92.443923
US,AR,05031,Craighead County,,county,33.554909,-92.82907
US,AR,05033,Crawford County,,county,33.554909,-92.82907
US,AR,05035,Crittenden County,,county,33.554909,-92.82907
US,AR,05037,Cross County,,county,33.572719,-92.82746
US,AR,05039,Dallas County,,county,34.556478,-94.20577
US,AR,05041,Desha County,,county,33.554909,-92.82907
US,AR,05043,Drew County,,county,33.938113,-91.845154
US,AR,05045,Faulkner County,,county,33.554909,-92.82907
US,AR,05047,Franklin County,,county,33.57692,-92.84572
US,AR,05049,Fulton County,,county,34.780279,-90.76858
US,AR,05051,Garland County,,county,33.803809,-93.370418
US,AR,05053,Grant County,,county,33.531799,-92.834239
US,AR,05055,Greene County,,county,33.58473,-92.847309
US,AR,05057,Hempstead County,,county,33.554909,-92.82907
US,AR,05059,Hot Spring County,,county,34.510353,-93.053512
US,AR,05061,Howard County,,county,33.554909,-92.82907
US,AR,05063,Independence County,,county,33.614579,-92.77794
US,AR,05065,Izard County,,county,33.554909,-92.82907
US,AR,05067,Jackson County,,county,33.58422,-92.82983
US,AR,05069,Jefferson County,,county,34.391925,-92.12395
US,AR,05071,Johnson County,,county,33.57365,-92.82625
US,AR,05073,Lafayette County,,county,33.5915,-92.85132
US,AR,05075,Lawrence County,,county,33.554909,-92.82907
US,AR,05077,Lee County,,county,33.592743,-92.860684
US,AR,05079,Lincoln County,,county,35.946946,-94.418191
US,AR,05081,Little River County,,county,35.875288,-90.184753
US,AR,05083,Logan County,,county,34.04914,-90.986739
US,AR,05085,Lonoke County,,county,34.832095,-92.002463
US,AR,05087,Madison County,,county,33.585609,-92.828419
US,AR,05089,Marion County,,county,35.216394,-90.206743
US,AR,05091,Miller County,,county,33.554909,-92.82907
US,AR,05093,Mississippi County,,county,33.554909,-92.82907
US,AR,05095,Monroe County,,county,33.587699,-92.827489
US,AR,05097,Montgomery County,,county,33.614579,-92.77794
US,AR,05099,Nevada County,,county,33.554909,-92.82907
US,AR,05101,Newton County,,county,33.5801,-92.825182
US,AR,05103,Ouachita County,,county,33.57836,-92.832909
US,AR,05105,Perry County,,county,35.072319,-92.775833
US,AR,05107,Phillips County,,county,33.536049,-92.83435
US,AR,05109,Pike County,,county,33.554909,-92.82907
US,AR,05111,Poinsett County,,county,34.575185,-91.107451
US,AR,05113,Polk County,,county,33.554909,-92.82907
US,AR,05115,Pope County,,county,33.58019,-92.83249
US,AR,05117,Prairie County,,county,33.554909,-92.82907
US,AR,05119,Pulaski County,,county,33.554909,-92.82907
US,AR,05121,Randolph County,,county,33.554909,-92.82907
US,AR,05123,St. Francis County,,county,36.270213,-93.146132
US,AR,05125,Saline County,,county,33.565249,-92.815019
US,AR,05127,Scott County,,county,33.528709,-92.838679
US,AR,05129,Searcy County,,county,35.202885,-91.714843
US,AR,05131,Sebastian County,,county,33.554909,-92.82907
US,AR,05133,Sevier County,,county,33.577819,-92.832009
US,AR,05135,Sharp County,,county,33.585079,-92.854259
US,AR,05137,Stone County,,county,36.049709,-91.637599
US,AR,05139,Union County,,county,36.259453,-91.92208
US,AR,05141,Van Buren County,,county,33.586537,-92.830927
US,AR,05143,Washington County,,county,33.586165,-92.8718
US,AR,05145,White County,,county,33.155031,-91.959963
US,AR,05147,Woodruff County,,county,33.554909,-92.82907
US,AR,05149,Yell County,,county,33.554909,-92.82907
US,CA,06001,Alameda County,,county,37.787366,-122.295797
US,CA,06003,Alpine County,,county,32.837133,-116.766859
US,CA,06005,Amador County,,county,38.350546,-120.929832
US,CA,06007,Butte County,,county,38.528002,-121.971064
US,CA,06009,Calaveras County,,county,34.017877,-118.408086
US,CA,06011,Colusa County,,county,39.200863,-122.018292
US,CA,06013,Contra Costa County,,county,34.123857,-117.707167
US,CA,06015,Del Norte County,,county,40.021561,-120.102171
US,CA,06017,El Dorado County,,county,38.678788,-120.845814
US,CA,06019,Fresno County,,county,36.721375,-119.812681
US,CA,06021,Glenn County,,county,38.845421,-120.859904
US,CA,06023,Humboldt County,,county,38.552999,-121.770812
US,CA,06025,Imperial County,,county,32.576633,-117.132476
US,CA,06027,Inyo County,,county,38.366822,-121.941996
US,CA,06029,Kern County,,county,33.891546,-117.56676
US,CA,06031,Kings County,,county,38.6605,-121.243507
US,CA,06033,Lake County,,county,38.456462,-120.527545
US,CA,06035,Lassen County,,county,38.44996,-121.845831
US,CA,06037,Los Angeles County,,county,34.047247,-118.246183
US,CA,06039,Madera County,,county,36.955829,-120.056027
US,CA,06041,Marin County,,county,36.680918,-121.806577
US,CA,06043,Mariposa County,,county,37.486896,-119.962094
US,CA,06045,Mendocino County,,county,38.487473,-123.01262
US,CA,06047,Merced County,,county,37.291563,-120.460666
US,CA,06049,Modoc County,,county,38.232717,-120.955058
US,CA,06051,Mono County,,county,38.348942,-121.971319
US,CA,06053,Monterey County,,county,36.591507,-121.901997
US,CA,06055,Napa County,,county,38.304275,-122.285072
